INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070615,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",E18,519,,2018-09-02 18:11:00,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948,"(42.25378838, -71.11950948)"
I182070615,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,E18,519,,2018-09-02 18:11:00,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948,"(42.25378838, -71.11950948)"
I182070614,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,180,,2018-09-02 17:35:00,2018,9,Sunday,17,Part Three,GEORGE ST,42.32688327,-71.07390946,"(42.32688327, -71.07390946)"
I182070613,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,297,,2018-09-02 18:33:00,2018,9,Sunday,18,Part Three,WALNUT AVE,42.32217348,-71.08506711,"(42.32217348, -71.08506711)"
I182070612,03115,Investigate Person,INVESTIGATE PERSON,, ,,2018-09-02 17:41:00,2018,9,Sunday,17,Part Three,,42.30665046,-71.10275907,"(42.30665046, -71.10275907)"
I182070611,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,495,,2018-09-02 17:00:00,2018,9,Sunday,17,Part Three,HYDE PARK AVE,42.26496475,-71.12123167,"(42.26496475, -71.12123167)"
I182070610,00724,Auto Theft,AUTO THEFT,B3,449,,2018-09-02 18:20:00,2018,9,Sunday,18,Part One,SPENCER ST,42.29293522,-71.07575826,"(42.29293522, -71.07575826)"
I182070609,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,80,,2018-09-02 03:00:00,2018,9,Sunday,3,Part Three,HULL ST,42.36644912,-71.05483990,"(42.36644912, -71.05483990)"
I182070608,00616,Larceny,LARCENY THEFT OF BICYCLE,, ,,2018-09-02 17:15:00,2018,9,Sunday,17,Part One,,42.33974218,-71.07960918,"(42.33974218, -71.07960918)"
I182070608,01402,Vandalism,VANDALISM,, ,,2018-09-02 17:15:00,2018,9,Sunday,17,Part Two,,42.33974218,-71.07960918,"(42.33974218, -71.07960918)"
I182070607,00619,Larceny,LARCENY ALL OTHERS,E18,519,,2018-08-24 00:00:00,2018,8,Friday,0,Part One,WALTER ST,42.25667872,-71.11853971,"(42.25667872, -71.11853971)"
I182070606,01402,Vandalism,VANDALISM,C11,416,,2018-09-02 16:58:00,2018,9,Sunday,16,Part Two,WASHINGTON ST,42.28164735,-71.07111848,"(42.28164735, -71.07111848)"
I182070605,03410,Towed,TOWED MOTOR VEHICLE,D14,793,,2018-09-02 17:20:00,2018,9,Sunday,17,Part Three,COMMONWEALTH AVE,42.34888872,-71.13354530,"(42.34888872, -71.13354530)"
I182070603,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,2018-09-02 17:30:00,2018,9,Sunday,17,Part Two,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)"
I182070602,00616,Larceny,LARCENY THEFT OF BICYCLE,A1,103,,2018-09-02 16:31:00,2018,9,Sunday,16,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)"
I182070601,03114,Investigate Property,INVESTIGATE PROPERTY,E18,516,,2018-09-02 17:28:00,2018,9,Sunday,17,Part Three,DANA AVE,42.24725578,-71.11958581,"(42.24725578, -71.11958581)"
I182070600,03114,Investigate Property,INVESTIGATE PROPERTY,B2,319,,2018-09-02 16:45:00,2018,9,Sunday,16,Part Three,BLUE HILL AVE,42.30803768,-71.08359213,"(42.30803768, -71.08359213)"
I182070599,03114,Investigate Property,INVESTIGATE PROPERTY,E13,578,,2018-09-02 16:42:00,2018,9,Sunday,16,Part Three,CENTRE ST,42.32088524,-71.11058918,"(42.32088524, -71.11058918)"
I182070598,00311,Robbery,ROBBERY - COMMERCIAL,A15,60,,2018-09-02 17:15:00,2018,9,Sunday,17,Part One,RUTHERFORD AVE,42.37167264,-71.06326413,"(42.37167264, -71.06326413)"
I182070597,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,282,,2018-09-02 17:30:00,2018,9,Sunday,17,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I182070596,00619,Larceny,LARCENY ALL OTHERS,C6,216,,2018-09-02 17:29:00,2018,9,Sunday,17,Part One,F ST,42.33382906,-71.05128729,"(42.33382906, -71.05128729)"
I182070595,02647,Other,THREATS TO DO BODILY HARM,B3,439,,2018-09-02 17:08:00,2018,9,Sunday,17,Part Two,STRATTON ST,42.29017432,-71.08808525,"(42.29017432, -71.08808525)"
I182070595,03301,Verbal Disputes,VERBAL DISPUTE,B3,439,,2018-09-02 17:08:00,2018,9,Sunday,17,Part Three,STRATTON ST,42.29017432,-71.08808525,"(42.29017432, -71.08808525)"
I182070594,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,364,,2018-09-02 05:30:00,2018,9,Sunday,5,Part Three,LESLIE ST,42.29514664,-71.05860832,"(42.29514664, -71.05860832)"
I182070593,01402,Vandalism,VANDALISM,E13,572,,2018-09-01 14:30:00,2018,9,Saturday,14,Part Two,COLUMBUS AVE,42.31362799,-71.09560307,"(42.31362799, -71.09560307)"
I182070592,01402,Vandalism,VANDALISM,B3,441,,2018-09-02 17:12:00,2018,9,Sunday,17,Part Two,HARVARD ST,42.29629726,-71.08115283,"(42.29629726, -71.08115283)"
I182070590,00301,Robbery,ROBBERY - STREET,, ,,2018-09-02 02:00:00,2018,9,Sunday,2,Part One,,42.34863242,-71.06553747,"(42.34863242, -71.06553747)"
I182070589,03115,Investigate Person,INVESTIGATE PERSON,C11,342,,2018-09-02 16:11:38,2018,9,Sunday,16,Part Three,TOPLIFF ST,42.30336787,-71.06827221,"(42.30336787, -71.06827221)"
I182070588,03114,Investigate Property,INVESTIGATE PROPERTY,D4,619,,2018-09-01 14:00:00,2018,9,Saturday,14,Part Three,SYMPHONY RD,42.34295335,-71.08833139,"(42.34295335, -71.08833139)"
I182070587,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,38,,2018-09-02 11:42:00,2018,9,Sunday,11,Part Three,FIRST AVE,42.37749764,-71.05031219,"(42.37749764, -71.05031219)"
I182070586,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,542,,2018-09-02 16:11:00,2018,9,Sunday,16,Part Three,RIVER ST,42.25387435,-71.12912445,"(42.25387435, -71.12912445)"
I182070585,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,318,,2018-09-02 16:43:00,2018,9,Sunday,16,Part Three,ELM HILL AVE,42.30973269,-71.08734852,"(42.30973269, -71.08734852)"
I182070584,03201,Property Lost,PROPERTY - LOST,B2,329,,2018-09-02 00:00:00,2018,9,Sunday,0,Part Three,STANWOOD ST,42.30994883,-71.08146033,"(42.30994883, -71.08146033)"
I182070583,00613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-01 14:35:00,2018,9,Saturday,14,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182070581,03115,Investigate Person,INVESTIGATE PERSON,A1,77,,2018-09-02 16:03:00,2018,9,Sunday,16,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182070580,00617,Larceny,LARCENY THEFT FROM BUILDING,C11,337,,2018-08-25 09:00:00,2018,8,Saturday,9,Part One,PURITAN AVE,42.30736306,-71.07165237,"(42.30736306, -71.07165237)"
I182070578,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,, ,,2018-09-02 15:23:00,2018,9,Sunday,15,Part Two,,42.35565209,-71.06289015,"(42.35565209, -71.06289015)"
I182070578,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,, ,,2018-09-02 15:23:00,2018,9,Sunday,15,Part One,,42.35565209,-71.06289015,"(42.35565209, -71.06289015)"
I182070576,03301,Verbal Disputes,VERBAL DISPUTE,B3,469,,2018-09-02 14:33:00,2018,9,Sunday,14,Part Three,MATTAPAN ST,42.27732507,-71.09483139,"(42.27732507, -71.09483139)"
I182070575,03410,Towed,TOWED MOTOR VEHICLE,D14,816,,2018-09-02 14:07:00,2018,9,Sunday,14,Part Three,ROYAL ST,42.35751060,-71.12996479,"(42.35751060, -71.12996479)"
I182070572,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,354,,2018-09-02 14:42:00,2018,9,Sunday,14,Part Three,NEPONSET AVE,42.29668913,-71.05555843,"(42.29668913, -71.05555843)"
I182070571,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,317,,2018-09-02 14:39:00,2018,9,Sunday,14,Part One,HOMESTEAD ST,42.31014403,-71.08759179,"(42.31014403, -71.08759179)"
I182070570,03301,Verbal Disputes,VERBAL DISPUTE,C11,394,,2018-09-02 14:50:00,2018,9,Sunday,14,Part Three,GALLIVAN BLVD,42.28158633,-71.06033424,"(42.28158633, -71.06033424)"
I182070569,01001,Counterfeiting,FORGERY / COUNTERFEITING,C11,402,,2018-09-02 14:39:00,2018,9,Sunday,14,Part Two,DORCHESTER AVE,42.28526024,-71.06444063,"(42.28526024, -71.06444063)"
I182070568,02647,Other,THREATS TO DO BODILY HARM,E18,496,,2018-09-02 15:13:00,2018,9,Sunday,15,Part Two,HYDE PARK AVE,42.26701085,-71.12096171,"(42.26701085, -71.12096171)"
I182070567,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,, ,,2018-09-02 14:25:00,2018,9,Sunday,14,Part Two,,42.34834528,-71.14991870,"(42.34834528, -71.14991870)"
I182070566,00613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-02 14:40:00,2018,9,Sunday,14,Part One,HUNTINGTON AVE,42.34797240,-71.07849582,"(42.34797240, -71.07849582)"
I182070565,01830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,B3,467,,2018-09-02 14:44:00,2018,9,Sunday,14,Part Two,GILMER ST,42.28281074,-71.09722321,"(42.28281074, -71.09722321)"
I182070564,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D4,598,,2018-09-02 14:11:00,2018,9,Sunday,14,Part Three,HAVILAND ST,42.34662361,-71.08740594,"(42.34662361, -71.08740594)"
I182070563,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,135,,2018-09-01 23:00:00,2018,9,Saturday,23,Part One,BEACON ST,42.35275712,-71.08240215,"(42.35275712, -71.08240215)"
I182070562,03410,Towed,TOWED MOTOR VEHICLE,C6,200,,2018-09-02 13:42:00,2018,9,Sunday,13,Part Three,W BROADWAY,42.34274131,-71.05735681,"(42.34274131, -71.05735681)"
I182070561,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,438,,2018-09-02 13:38:00,2018,9,Sunday,13,Part Three,TALBOT AVE,42.29138891,-71.07599527,"(42.29138891, -71.07599527)"
I182070560,03201,Property Lost,PROPERTY - LOST,C11,341,,2018-09-01 18:56:00,2018,9,Saturday,18,Part Three,BOWDOIN ST,42.30573977,-71.06762362,"(42.30573977, -71.06762362)"
I182070559,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING �BICYCLE - INJURY,E13,608,,2018-09-02 11:37:00,2018,9,Sunday,11,Part Three,S HUNTINGTON AVE,42.33041036,-71.11148382,"(42.33041036, -71.11148382)"
I182070558,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,281,,2018-09-02 13:32:00,2018,9,Sunday,13,Part Two,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182070557,02647,Other,THREATS TO DO BODILY HARM,E13,579,,2018-09-02 13:20:00,2018,9,Sunday,13,Part Two,CENTRE ST,42.32277007,-71.10445458,"(42.32277007, -71.10445458)"
I182070556,02401,Disorderly Conduct,AFFRAY,A1,101,,2018-09-02 13:09:00,2018,9,Sunday,13,Part Two,MCKINLEY SQ,42.35934139,-71.05333104,"(42.35934139, -71.05333104)"
I182070556,02405,Disorderly Conduct,DISORDERLY CONDUCT,A1,101,,2018-09-02 13:09:00,2018,9,Sunday,13,Part Two,MCKINLEY SQ,42.35934139,-71.05333104,"(42.35934139, -71.05333104)"
I182070555,03501,Missing Person Reported,MISSING PERSON,C11,348,,2018-09-02 12:30:00,2018,9,Sunday,12,Part Three,DORCHESTER AVE,42.30420472,-71.05919227,"(42.30420472, -71.05919227)"
I182070554,02629,Harassment,HARASSMENT,D14,938,,2018-06-15 00:00:00,2018,6,Friday,0,Part Two,FIDELIS WAY,42.34600287,-71.14387725,"(42.34600287, -71.14387725)"
I182070553,00613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-09-02 13:20:00,2018,9,Sunday,13,Part One,WINTER ST,42.35554806,-71.06073140,"(42.35554806, -71.06073140)"
I182070552,01402,Vandalism,VANDALISM,B2,318,,2018-09-01 23:00:00,2018,9,Saturday,23,Part Two,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182070551,03501,Missing Person Reported,MISSING PERSON,C11,345,,2018-09-02 12:30:00,2018,9,Sunday,12,Part Three,RIDGEWOOD ST,42.30209443,-71.06575183,"(42.30209443, -71.06575183)"
I182070550,03301,Verbal Disputes,VERBAL DISPUTE,C11,358,,2018-09-02 12:41:00,2018,9,Sunday,12,Part Three,GREENBRIER ST,42.29642169,-71.07045327,"(42.29642169, -71.07045327)"
I182070549,00301,Robbery,ROBBERY - STREET,B2,282,,2018-09-02 07:00:00,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
I182070549,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,282,,2018-09-02 07:00:00,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
I182070548,02403,Disorderly Conduct,DISTURBING THE PEACE,C11,335,,2018-09-02 12:04:00,2018,9,Sunday,12,Part Two,BOWDOIN ST,42.30783120,-71.06529544,"(42.30783120, -71.06529544)"
I182070547,03301,Verbal Disputes,VERBAL DISPUTE,A7,12,,2018-09-02 12:52:00,2018,9,Sunday,12,Part Three,BENNINGTON ST,42.38512136,-71.01150101,"(42.38512136, -71.01150101)"
I182070546,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,347,,2018-09-02 12:55:00,2018,9,Sunday,12,Part One,ADAMS ST,42.30569111,-71.06164783,"(42.30569111, -71.06164783)"
I182070545,03201,Property Lost,PROPERTY - LOST,D4,144,,2018-08-29 17:30:00,2018,8,Wednesday,17,Part Three,MASSACHUSETTS AVE,42.34439568,-71.08632016,"(42.34439568, -71.08632016)"
I182070543,00616,Larceny,LARCENY THEFT OF BICYCLE,C11,398,,2018-08-31 23:00:00,2018,8,Friday,23,Part One,WELLES AVE,42.28854881,-71.06894162,"(42.28854881, -71.06894162)"
I182070542,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,D14,796,,2018-09-02 13:02:00,2018,9,Sunday,13,Part Three,COMMONWEALTH AVE,42.35053956,-71.13106722,"(42.35053956, -71.13106722)"
I182070541,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,445,,2018-09-02 12:29:00,2018,9,Sunday,12,Part Three,GLENWAY ST,42.29918970,-71.08150445,"(42.29918970, -71.08150445)"
I182070540,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,288,,2018-09-02 13:01:00,2018,9,Sunday,13,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I182070539,03201,Property Lost,PROPERTY - LOST,B3,565,,2018-09-02 12:59:00,2018,9,Sunday,12,Part Three,HARVARD ST,42.28968115,-71.09212545,"(42.28968115, -71.09212545)"
I182070538,03115,Investigate Person,INVESTIGATE PERSON,E18,487,,2018-09-02 11:40:00,2018,9,Sunday,11,Part Three,BLAKE ST,42.26448463,-71.10697097,"(42.26448463, -71.10697097)"
I182070537,03201,Property Lost,PROPERTY - LOST,E18,487,,2018-09-02 12:56:00,2018,9,Sunday,12,Part Three,WINBOROUGH ST,42.26548267,-71.10516125,"(42.26548267, -71.10516125)"
I182070536,01402,Vandalism,VANDALISM,C6,214,,2018-07-30 12:51:00,2018,7,Monday,12,Part Two,W FIFTH ST,42.33598510,-71.05008287,"(42.33598510, -71.05008287)"
I182070534,03001,Medical Assistance,DEATH INVESTIGATION,C11,366,,2018-09-02 12:07:00,2018,9,Sunday,12,Part Three,TEMPLETON WAY,42.29004265,-71.05725661,"(42.29004265, -71.05725661)"
I182070532,00613,Larceny,LARCENY SHOPLIFTING,E5,727,,2018-09-02 11:58:00,2018,9,Sunday,11,Part One,VFW PKWY,42.28020820,-71.17087959,"(42.28020820, -71.17087959)"
I182070531,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,814,,2018-09-02 11:00:00,2018,9,Sunday,11,Part Three,WESTERN AVE,42.36330598,-71.12841637,"(42.36330598, -71.12841637)"
I182070530,03115,Investigate Person,INVESTIGATE PERSON,C11,378,,2018-09-02 12:13:00,2018,9,Sunday,12,Part Three,PIERCE AVE,42.28743256,-71.05263870,"(42.28743256, -71.05263870)"
I182070529,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,A15,52,,2018-09-02 11:45:00,2018,9,Sunday,11,Part Three,RUTHERFORD AVE,42.38025398,-71.07113638,"(42.38025398, -71.07113638)"
I182070528,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,D4,162,,2018-09-02 11:48:00,2018,9,Sunday,11,Part Three,HARRISON AVE,42.34493428,-71.06366374,"(42.34493428, -71.06366374)"
I182070527,03301,Verbal Disputes,VERBAL DISPUTE,B2,326,,2018-09-02 11:31:00,2018,9,Sunday,11,Part Three,LAWRENCE AVE,42.31286677,-71.07841587,"(42.31286677, -71.07841587)"
I182070526,03821,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,C6,226,,2018-09-02 12:01:00,2018,9,Sunday,12,Part Three,E BROADWAY,42.33556114,-71.03993118,"(42.33556114, -71.03993118)"
I182070525,00619,Larceny,LARCENY ALL OTHERS,C11,397,,2018-09-02 11:45:00,2018,9,Sunday,11,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182070524,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,276,,2018-09-02 02:00:00,2018,9,Sunday,2,Part Three,WILLIAMS ST,42.33237733,-71.08237779,"(42.33237733, -71.08237779)"
I182070522,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,724,,2018-09-02 11:10:00,2018,9,Sunday,11,Part Three,LAURIE AVE,42.27033908,-71.16975904,"(42.27033908, -71.16975904)"
I182070521,00613,Larceny,LARCENY SHOPLIFTING,E18,525,,2018-09-02 10:39:00,2018,9,Sunday,10,Part One,TRUMAN PKWY,42.24124926,-71.12629908,"(42.24124926, -71.12629908)"
I182070520,00613,Larceny,LARCENY SHOPLIFTING,E18,495,,2018-09-02 10:59:00,2018,9,Sunday,10,Part One,HYDE PARK AVE,42.26496475,-71.12123167,"(42.26496475, -71.12123167)"
I182070518,00613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-01 20:40:00,2018,9,Saturday,20,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182070517,03811,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,, ,,2018-09-02 11:22:00,2018,9,Sunday,11,Part Three,,42.33848450,-71.15509795,"(42.33848450, -71.15509795)"
I182070516,02647,Other,THREATS TO DO BODILY HARM,A1,76,,2018-09-02 11:19:00,2018,9,Sunday,11,Part Two,CANAL ST,42.36394509,-71.05942841,"(42.36394509, -71.05942841)"
I182070515,03114,Investigate Property,INVESTIGATE PROPERTY,A7,824,,2018-09-02 11:00:00,2018,9,Sunday,11,Part Three,PUTNAM ST,42.37916578,-71.03258617,"(42.37916578, -71.03258617)"
I182070514,03201,Property Lost,PROPERTY - LOST,D14,796,,2018-09-01 21:30:00,2018,9,Saturday,21,Part Three,HARVARD AVE,42.35204779,-71.13180684,"(42.35204779, -71.13180684)"
I182070513,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,605,,2018-08-31 22:00:00,2018,8,Friday,22,Part Three,HUNTINGTON AVE,42.33332888,-71.10659534,"(42.33332888, -71.10659534)"
I182070512,03201,Property Lost,PROPERTY - LOST,C11,380,,2018-09-02 11:02:00,2018,9,Sunday,11,Part Three,GALLIVAN BLVD,42.28370031,-71.04776143,"(42.28370031, -71.04776143)"
I182070511,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,344,,2018-09-02 10:26:00,2018,9,Sunday,10,Part Three,CORONA ST,42.30097791,-71.07077333,"(42.30097791, -71.07077333)"
I182070509,03410,Towed,TOWED MOTOR VEHICLE,C11,240,,2018-09-02 09:00:00,2018,9,Sunday,9,Part Three,ANNABEL ST,42.31828902,-71.06265046,"(42.31828902, -71.06265046)"
I182070508,01402,Vandalism,VANDALISM,E18,543,,2018-09-02 09:26:00,2018,9,Sunday,9,Part Two,RIVER ST,42.25519156,-71.12761721,"(42.25519156, -71.12761721)"
I182070506,03115,Investigate Person,INVESTIGATE PERSON,A1,95,,2018-09-01 14:30:00,2018,9,Saturday,14,Part Three,ATLANTIC AVE,42.36033276,-71.05217290,"(42.36033276, -71.05217290)"
I182070505,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,235,,2018-09-01 09:00:00,2018,9,Saturday,9,Part Three,CRESCENT AVE,42.31895064,-71.05449231,"(42.31895064, -71.05449231)"
I182070504,03115,Investigate Person,INVESTIGATE PERSON,D14,778,,2018-09-02 09:56:00,2018,9,Sunday,9,Part Three,WASHINGTON ST,42.34905600,-71.15049850,"(42.34905600, -71.15049850)"
I182070503,03410,Towed,TOWED MOTOR VEHICLE,D4,285,,2018-09-02 07:53:00,2018,9,Sunday,7,Part Three,HAMMOND ST,42.33651082,-71.08339215,"(42.33651082, -71.08339215)"
I182070501,00361,Robbery,ROBBERY - OTHER,B2,177,,2018-09-01 19:00:00,2018,9,Saturday,19,Part One,,,,"(0.00000000, 0.00000000)"
I182070500,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,378,,2018-09-02 00:00:00,2018,9,Sunday,0,Part Three,CHICKATAWBUT ST,42.28665631,-71.04640009,"(42.28665631, -71.04640009)"
I182070499,00619,Larceny,LARCENY ALL OTHERS,C6,186,,2018-09-02 09:17:00,2018,9,Sunday,9,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182070498,03410,Towed,TOWED MOTOR VEHICLE,A1,83,,2018-09-02 07:33:00,2018,9,Sunday,7,Part Three,HENCHMAN ST,42.36721232,-71.05369636,"(42.36721232, -71.05369636)"
I182070497,01402,Vandalism,VANDALISM,C6,233,,2018-09-02 04:10:00,2018,9,Sunday,4,Part Two,E EIGHTH ST,42.33131745,-71.04411164,"(42.33131745, -71.04411164)"
I182070496,00619,Larceny,LARCENY ALL OTHERS,B2,318,,2018-09-02 00:00:00,2018,9,Sunday,0,Part One,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182070496,01402,Vandalism,VANDALISM,B2,318,,2018-09-02 00:00:00,2018,9,Sunday,0,Part Two,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182070495,03301,Verbal Disputes,VERBAL DISPUTE,B3,420,,2018-09-02 08:47:00,2018,9,Sunday,8,Part Three,W SELDEN ST,42.27376816,-71.08919673,"(42.27376816, -71.08919673)"
I182070494,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,194,,2018-09-02 08:22:00,2018,9,Sunday,8,Part Three,DORCHESTER AVE,42.33014012,-71.05695787,"(42.33014012, -71.05695787)"
I182070492,03410,Towed,TOWED MOTOR VEHICLE,D14,801,,2018-09-02 07:20:00,2018,9,Sunday,7,Part Three,FARRINGTON AVE,42.35429484,-71.13190433,"(42.35429484, -71.13190433)"
I182070491,00619,Larceny,LARCENY ALL OTHERS,C11,401,,2018-09-01 18:00:00,2018,9,Saturday,18,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182070489,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,619,,2018-09-02 07:33:00,2018,9,Sunday,7,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)"
I182070488,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,790,,2018-09-02 07:19:00,2018,9,Sunday,7,Part Three,ORKNEY RD,42.33691995,-71.14960316,"(42.33691995, -71.14960316)"
I182070487,03001,Medical Assistance,DEATH INVESTIGATION,D14,761,,2018-09-02 07:01:00,2018,9,Sunday,7,Part Three,BROCK ST,42.35087795,-71.16036469,"(42.35087795, -71.16036469)"
I182070486,03007,Medical Assistance,SUDDEN DEATH,C11,336,,2018-09-02 05:00:00,2018,9,Sunday,5,Part Three,BLAKEVILLE ST,42.30470597,-71.07091547,"(42.30470597, -71.07091547)"
I182070485,01402,Vandalism,VANDALISM,C11,451,,2018-09-02 06:26:00,2018,9,Sunday,6,Part Two,WASHINGTON ST,42.29417346,-71.07193797,"(42.29417346, -71.07193797)"
I182070484,01402,Vandalism,VANDALISM,E5,674,,2018-09-02 06:58:00,2018,9,Sunday,6,Part Two,SOUTH ST,42.28878014,-71.13438128,"(42.28878014, -71.13438128)"
I182070483,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,, ,,2018-09-02 05:41:00,2018,9,Sunday,5,Part Three,,42.38046025,-71.02436908,"(42.38046025, -71.02436908)"
I182070482,02660,Other,OTHER OFFENSE,C6,914,,2018-09-02 05:59:00,2018,9,Sunday,5,Part Two,DR. MICHAEL GAVIN WAY,42.32614559,-71.05349144,"(42.32614559, -71.05349144)"
I182070479,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6, ,,2018-09-02 05:06:00,2018,9,Sunday,5,Part One,,,,"(0.00000000, 0.00000000)"
I182070477,03115,Investigate Person,INVESTIGATE PERSON,C11,341,,2018-09-02 04:53:00,2018,9,Sunday,4,Part Three,NORTON ST,42.30460308,-71.06691869,"(42.30460308, -71.06691869)"
I182070476,00619,Larceny,LARCENY ALL OTHERS,D14,795,,2018-09-02 03:56:00,2018,9,Sunday,3,Part One,CAMBRIDGE ST,42.35343384,-71.13786355,"(42.35343384, -71.13786355)"
I182070476,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,795,,2018-09-02 03:56:00,2018,9,Sunday,3,Part Two,CAMBRIDGE ST,42.35343384,-71.13786355,"(42.35343384, -71.13786355)"
I182070475,03830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,, ,,2018-09-02 03:53:00,2018,9,Sunday,3,Part Three,,42.29819526,-71.08691580,"(42.29819526, -71.08691580)"
I182070474,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,321,,2018-09-02 02:52:00,2018,9,Sunday,2,Part Three,INTERVALE ST,42.31226098,-71.08179001,"(42.31226098, -71.08179001)"
